CMDLINE /usr/local/opt/python@3.11/bin/python3.11 myrun6.py
MEM 0.105469 1699194074.4775
MEM 21.796875 1699194074.5794
MEM 37.226562 1699194074.6846
MEM 44.453125 1699194074.7853
