CMDLINE /usr/local/opt/python@3.11/bin/python3.11 myrun6.py
MEM 0.097656 1699194115.4928
MEM 21.468750 1699194115.5938
MEM 35.750000 1699194115.6966
MEM 44.867188 1699194115.7970
MEM 57.226562 1699194115.8977
MEM 73.335938 1699194116.0014
MEM 85.199219 1699194116.1048
MEM 95.621094 1699194116.2099
MEM 105.144531 1699194116.3136
MEM 117.195312 1699194116.4143
MEM 122.375000 1699194116.5153
MEM 125.636719 1699194116.6198
MEM 125.855469 1699194116.7235
