CMDLINE /usr/local/opt/python@3.11/bin/python3.11 myrun6.py
MEM 0.097656 1699194182.3508
MEM 22.214844 1699194182.4520
MEM 37.531250 1699194182.5572
MEM 45.996094 1699194182.6624
MEM 52.578125 1699194182.7626
MEM 65.863281 1699194182.8646
MEM 80.914062 1699194182.9659
MEM 88.914062 1699194183.0664
MEM 97.371094 1699194183.1682
MEM 108.121094 1699194183.2734
MEM 120.054688 1699194183.3735
MEM 122.628906 1699194183.4747
MEM 125.828125 1699194183.5799
