CMDLINE /usr/local/opt/python@3.11/bin/python3.11 myrun6.py
MEM 0.097656 1699194101.9106
MEM 21.699219 1699194102.0122
MEM 37.121094 1699194102.1174
MEM 44.500000 1699194102.2226
MEM 58.007812 1699194102.3260
MEM 70.039062 1699194102.4265
MEM 84.621094 1699194102.5316
MEM 92.929688 1699194102.6348
MEM 101.941406 1699194102.7390
MEM 113.082031 1699194102.8392
MEM 121.882812 1699194102.9439
MEM 122.191406 1699194103.0459
MEM 125.031250 1699194103.1467
MEM 125.226562 1699194103.2479
