CMDLINE /usr/local/opt/python@3.11/bin/python3.11 myrun6.py
MEM 0.105469 1699194112.4962
MEM 21.914062 1699194112.5982
MEM 37.046875 1699194112.7034
MEM 45.375000 1699194112.8062
MEM 59.347656 1699194112.9072
MEM 76.953125 1699194113.0124
MEM 86.312500 1699194113.1129
MEM 96.726562 1699194113.2134
MEM 105.542969 1699194113.3140
MEM 118.027344 1699194113.4157
MEM 122.933594 1699194113.5173
MEM 126.261719 1699194113.6225
MEM 123.371094 1699194113.7256
