CMDLINE /usr/local/opt/python@3.11/bin/python3.11 myrun6.py
MEM 0.109375 1699194037.9617
MEM 22.484375 1699194038.0662
MEM 36.750000 1699194038.1690
MEM 44.273438 1699194038.2726
